university,group_title,campaign_year,snapshot_date,applications,seat_counts,min_enrolled_score,last_rank
msu,География (paid_competition),2026,2026-08-08 14:51:22.022060+00:00,5,"{""paid_competition"": 5}",,5
msu,Геология (by_special_quota),2026,2026-08-08 14:51:16.079204+00:00,2,"{""by_special_quota"": 2}",,2
msu,Геология (by_target_quota),2026,2026-08-08 14:51:16.086623+00:00,1,"{""by_target_quota"": 1}",,1
msu,Геология (by_unusual_quota),2026,2026-08-08 14:51:16.083763+00:00,8,"{""by_unusual_quota"": 9}",,8
msu,Геология (by_unusual_quota),2026,2026-08-08 14:51:16.081607+00:00,1,"{""by_unusual_quota"": 9}",,1
msu,Геология (general_competition),2026,2026-08-08 14:51:16.091901+00:00,172,"{""general_competition"": 187}",315.0,172
msu,Геология (paid_competition),2026,2026-08-08 14:51:16.142819+00:00,227,"{""paid_competition"": 40}",,227
msu,Геология (without_entry_tests),2026,2026-08-08 14:51:16.088716+00:00,13,"{""without_entry_tests"": 187}",,13
msu,"Глобальная экономика и управление, Глобальная энергетика и международный бизнес (by_special_quota)",2026,2026-08-08 14:51:21.070811+00:00,2,"{""by_special_quota"": 2}",,2
msu,"Глобальная экономика и управление, Глобальная энергетика и международный бизнес (by_unusual_quota)",2026,2026-08-08 14:51:21.083759+00:00,2,"{""by_unusual_quota"": 3}",,2
msu,"Глобальная экономика и управление, Глобальная энергетика и международный бизнес (by_unusual_quota)",2026,2026-08-08 14:51:21.076066+00:00,1,"{""by_unusual_quota"": 3}",,1
msu,"Глобальная экономика и управление, Глобальная энергетика и международный бизнес (general_competition)",2026,2026-08-08 14:51:21.093866+00:00,8,"{""general_competition"": 10}",384.0,8
msu,"Глобальная экономика и управление, Глобальная энергетика и международный бизнес (paid_competition)",2026,2026-08-08 14:51:21.137258+00:00,556,"{""paid_competition"": 55}",,556
msu,"Глобальная экономика и управление, Глобальная энергетика и международный бизнес (without_entry_tests)",2026,2026-08-08 14:51:21.089492+00:00,2,"{""without_entry_tests"": 10}",,2
msu,Глобальные политические процессы и дипломатия (by_special_quota),2026,2026-08-08 14:51:21.270313+00:00,1,"{""by_special_quota"": 1}",,1
msu,Глобальные политические процессы и дипломатия (by_unusual_quota),2026,2026-08-08 14:51:21.273986+00:00,1,"{""by_unusual_quota"": 1}",,1
msu,Глобальные политические процессы и дипломатия (general_competition),2026,2026-08-08 14:51:21.279983+00:00,6,"{""general_competition"": 8}",382.0,6
msu,Глобальные политические процессы и дипломатия (paid_competition),2026,2026-08-08 14:51:21.319916+00:00,666,"{""paid_competition"": 40}",,666
msu,Глобальные политические процессы и дипломатия (without_entry_tests),2026,2026-08-08 14:51:21.276726+00:00,2,"{""without_entry_tests"": 8}",,2
msu,Государственное и муниципальное управление (general_competition),2026,2026-08-08 14:51:22.024433+00:00,10,"{""general_competition"": 10}",218.0,10
msu,Государственное и муниципальное управление (paid_competition),2026,2026-08-08 14:51:22.028511+00:00,13,"{""paid_competition"": 6}",,13
msu,Государственное и муниципальное управление (paid_competition),2026,2026-08-08 14:51:20.135289+00:00,4,"{""paid_competition"": 5}",,4
msu,Государственное и муниципальное управление (общий) (by_special_quota),2026,2026-08-08 14:51:20.137879+00:00,4,"{""by_special_quota"": 4}",,4
msu,Государственное и муниципальное управление (общий) (by_unusual_quota),2026,2026-08-08 14:51:20.140316+00:00,4,"{""by_unusual_quota"": 4}",,4
msu,Государственное и муниципальное управление (общий) (general_competition),2026,2026-08-08 14:51:20.142834+00:00,23,"{""general_competition"": 23}",365.0,23
msu,Государственное и муниципальное управление (общий) (paid_competition),2026,2026-08-08 14:51:20.167691+00:00,456,"{""paid_competition"": 83}",,456
msu,Журналистика (by_special_quota),2026,2026-08-08 14:51:17.998561+00:00,7,"{""by_special_quota"": 7}",,7
msu,Журналистика (by_special_quota),2026,2026-08-08 14:51:22.032047+00:00,1,"{""by_special_quota"": 1}",,1
